Leaderboard Rank Correlation Analysis Exam-Qrels
run_dir	data/dl20/dl20runs
method	min_rating	trec_eval_metric	spearman	kendall
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	4	ndcg_cut.20	0.973	0.871
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	5	ndcg_cut.20	0.973	0.871
data/dl20/NuggetSelfRatedPrompt.qrel	1	ndcg_cut.20	0.935	0.787
data/dl20/NuggetSelfRatedPrompt.qrel	3	ndcg_cut.20	0.935	0.787
data/dl20/NuggetSelfRatedPrompt.qrel	4	ndcg_cut.20	0.935	0.787
data/dl20/NuggetSelfRatedPrompt.qrel	5	ndcg_cut.20	0.935	0.787
data/dl20/Thomas.qrel	1	ndcg_cut.20	0.963	0.852
data/dl20/Thomas.qrel	3	ndcg_cut.20	0.963	0.852
data/dl20/Thomas.qrel	4	ndcg_cut.20	0.963	0.852
data/dl20/Thomas.qrel	5	ndcg_cut.20	0.963	0.852
data/dl20/FagB.qrel	1	ndcg_cut.20	0.961	0.862
data/dl20/FagB.qrel	3	ndcg_cut.20	0.961	0.862
data/dl20/FagB.qrel	4	ndcg_cut.20	0.961	0.862
data/dl20/FagB.qrel	5	ndcg_cut.20	0.961	0.862
data/dl20/FagB_few.qrel	1	ndcg_cut.20	0.959	0.857
data/dl20/FagB_few.qrel	3	ndcg_cut.20	0.959	0.857
data/dl20/FagB_few.qrel	4	ndcg_cut.20	0.959	0.857
data/dl20/FagB_few.qrel	5	ndcg_cut.20	0.959	0.857
data/dl20/HELM.qrel	1	ndcg_cut.20	0.959	0.862
data/dl20/HELM.qrel	3	ndcg_cut.20	0.959	0.862
data/dl20/HELM.qrel	4	ndcg_cut.20	0.959	0.862
data/dl20/HELM.qrel	5	ndcg_cut.20	0.959	0.862
data/dl20/Sun.qrel	1	ndcg_cut.20	0.973	0.882
data/dl20/Sun.qrel	3	ndcg_cut.20	0.973	0.882
data/dl20/Sun.qrel	4	ndcg_cut.20	0.973	0.882
data/dl20/Sun.qrel	5	ndcg_cut.20	0.973	0.882
data/dl20/Sun_few.qrel	1	ndcg_cut.20	0.944	0.831
data/dl20/Sun_few.qrel	3	ndcg_cut.20	0.944	0.831
data/dl20/Sun_few.qrel	4	ndcg_cut.20	0.944	0.831
data/dl20/Sun_few.qrel	5	ndcg_cut.20	0.944	0.831
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	1	map	0.846	0.665
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	3	map	0.872	0.694
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	4	map	0.893	0.723
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	5	map	0.946	0.818
data/dl20/NuggetSelfRatedPrompt.qrel	1	map	0.626	0.455
data/dl20/NuggetSelfRatedPrompt.qrel	3	map	0.681	0.492
data/dl20/NuggetSelfRatedPrompt.qrel	4	map	0.817	0.628
data/dl20/NuggetSelfRatedPrompt.qrel	5	map	0.940	0.792
data/dl20/Thomas.qrel	1	map	0.828	0.649
data/dl20/Thomas.qrel	3	map	0.726	0.548
data/dl20/Thomas.qrel	4	map	0.757	0.559
data/dl20/Thomas.qrel	5	map	-0.313	-0.316
data/dl20/FagB.qrel	1	map	0.922	0.793
data/dl20/FagB.qrel	3	map	nan	nan
data/dl20/FagB.qrel	4	map	nan	nan
data/dl20/FagB.qrel	5	map	nan	nan
data/dl20/FagB_few.qrel	1	map	0.924	0.795
data/dl20/FagB_few.qrel	3	map	nan	nan
data/dl20/FagB_few.qrel	4	map	nan	nan
data/dl20/FagB_few.qrel	5	map	nan	nan
data/dl20/HELM.qrel	1	map	0.919	0.787
data/dl20/HELM.qrel	3	map	nan	nan
data/dl20/HELM.qrel	4	map	nan	nan
data/dl20/HELM.qrel	5	map	nan	nan
data/dl20/Sun.qrel	1	map	0.920	0.782
data/dl20/Sun.qrel	3	map	nan	nan
data/dl20/Sun.qrel	4	map	nan	nan
data/dl20/Sun.qrel	5	map	nan	nan
data/dl20/Sun_few.qrel	1	map	0.928	0.791
data/dl20/Sun_few.qrel	3	map	nan	nan
data/dl20/Sun_few.qrel	4	map	nan	nan
data/dl20/Sun_few.qrel	5	map	nan	nan
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	1	Rprec	0.848	0.669
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	3	Rprec	0.859	0.685
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	4	Rprec	0.904	0.743
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	5	Rprec	0.916	0.766
data/dl20/NuggetSelfRatedPrompt.qrel	1	Rprec	0.425	0.323
data/dl20/NuggetSelfRatedPrompt.qrel	3	Rprec	0.618	0.450
data/dl20/NuggetSelfRatedPrompt.qrel	4	Rprec	0.776	0.600
data/dl20/NuggetSelfRatedPrompt.qrel	5	Rprec	0.924	0.773
data/dl20/Thomas.qrel	1	Rprec	0.757	0.575
data/dl20/Thomas.qrel	3	Rprec	0.478	0.369
data/dl20/Thomas.qrel	4	Rprec	0.798	0.655
data/dl20/Thomas.qrel	5	Rprec	nan	nan
data/dl20/FagB.qrel	1	Rprec	0.914	0.776
data/dl20/FagB.qrel	3	Rprec	nan	nan
data/dl20/FagB.qrel	4	Rprec	nan	nan
data/dl20/FagB.qrel	5	Rprec	nan	nan
data/dl20/FagB_few.qrel	1	Rprec	0.921	0.788
data/dl20/FagB_few.qrel	3	Rprec	nan	nan
data/dl20/FagB_few.qrel	4	Rprec	nan	nan
data/dl20/FagB_few.qrel	5	Rprec	nan	nan
data/dl20/HELM.qrel	1	Rprec	0.917	0.781
data/dl20/HELM.qrel	3	Rprec	nan	nan
data/dl20/HELM.qrel	4	Rprec	nan	nan
data/dl20/HELM.qrel	5	Rprec	nan	nan
data/dl20/Sun.qrel	1	Rprec	0.916	0.769
data/dl20/Sun.qrel	3	Rprec	nan	nan
data/dl20/Sun.qrel	4	Rprec	nan	nan
data/dl20/Sun.qrel	5	Rprec	nan	nan
data/dl20/Sun_few.qrel	1	Rprec	0.929	0.793
data/dl20/Sun_few.qrel	3	Rprec	nan	nan
data/dl20/Sun_few.qrel	4	Rprec	nan	nan
data/dl20/Sun_few.qrel	5	Rprec	nan	nan
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	1	recip_rank	0.865	0.704
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	3	recip_rank	0.937	0.800
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	4	recip_rank	0.941	0.810
data/dl20/QuestionSelfRatedUnanswerablePromptWithChoices.qrel	5	recip_rank	0.845	0.656
data/dl20/NuggetSelfRatedPrompt.qrel	1	recip_rank	0.524	0.433
data/dl20/NuggetSelfRatedPrompt.qrel	3	recip_rank	0.275	0.203
data/dl20/NuggetSelfRatedPrompt.qrel	4	recip_rank	0.609	0.449
data/dl20/NuggetSelfRatedPrompt.qrel	5	recip_rank	0.838	0.656
data/dl20/Thomas.qrel	1	recip_rank	0.751	0.623
data/dl20/Thomas.qrel	3	recip_rank	0.710	0.535
data/dl20/Thomas.qrel	4	recip_rank	0.722	0.519
data/dl20/Thomas.qrel	5	recip_rank	-0.313	-0.316
data/dl20/FagB.qrel	1	recip_rank	0.940	0.815
data/dl20/FagB.qrel	3	recip_rank	nan	nan
data/dl20/FagB.qrel	4	recip_rank	nan	nan
data/dl20/FagB.qrel	5	recip_rank	nan	nan
data/dl20/FagB_few.qrel	1	recip_rank	0.918	0.786
data/dl20/FagB_few.qrel	3	recip_rank	nan	nan
data/dl20/FagB_few.qrel	4	recip_rank	nan	nan
data/dl20/FagB_few.qrel	5	recip_rank	nan	nan
data/dl20/HELM.qrel	1	recip_rank	0.930	0.785
data/dl20/HELM.qrel	3	recip_rank	nan	nan
data/dl20/HELM.qrel	4	recip_rank	nan	nan
data/dl20/HELM.qrel	5	recip_rank	nan	nan
data/dl20/Sun.qrel	1	recip_rank	0.924	0.785
data/dl20/Sun.qrel	3	recip_rank	nan	nan
data/dl20/Sun.qrel	4	recip_rank	nan	nan
data/dl20/Sun.qrel	5	recip_rank	nan	nan
data/dl20/Sun_few.qrel	1	recip_rank	0.866	0.700
data/dl20/Sun_few.qrel	3	recip_rank	nan	nan
data/dl20/Sun_few.qrel	4	recip_rank	nan	nan
data/dl20/Sun_few.qrel	5	recip_rank	nan	nan


